Negative Tweet,Negative Score,Cluster
internationalwomensday women beaten pushed back hurled male police officers ictpolice shame pushed hurled woman yelling âœdonât touch authorised touch ranasanaullahpk answer,0.237,0
important note cases statedirected violence west including united kingdom however main differences comes postcolonial nations arshadsharif imrankhan fawadchaudhry imranriazkhan,0.166,0
censorship imposed pakistani channels byâknown unknownsâ directions show protests across pakistan pakistanis crackdown zamanpark heavy tear shelling lahore police,0.158,0
police rangers security daughter convicted criminal policy taking dupattas heads nations daughters neutral caretaker government come conduct elections curse,0.273,0
imran khan lawyer barrister salman safdar filed constitutional petition lahore high court regarding criminal cases stating behind cases imran khan security murder bring imrankhan pakistan,0.249,0
cases imrankhanpti life azam swati shahbaz gill dryasmin rashid arshad sharif forced leave country requested extradite finally murdered violations article,0.429,2
justice shahid karim observed today appointment chairman remain subject outcome petition regarding acceptance resignations mnasthusif aceptance resignations mnas declared illegal appointment illegal imrankhan,0.331,0
shameful pemra suspend transmission news channels giving coverage imran khan targeting midnight closure exposed intentions nawaz league arynews imrankhan imrankhanpti ø²ùøùù¾øøúù¾ûùúùˆ,0.26,0
marinka ukraine march worth apocalyptic scenes entire cities turned dust ukrainians used pawns west weaken russia chess pawns first ukrainerussianwar russia putin,0.256,0
moeen nawazish exposes british cambridge education system tweets maybe cannot make zebra painting donkey pakistaneconomy ishaqdar,0.091,0
doctors given green signal chairman imran khan start election campaign primary question still security serious threats life imrankhanpti imrankhan,0.182,0
international markets brace pakistan default risk billion debt looms bloomberg delay suffer evident seems unavoidable maybe titanic wasnt strong pakistaneconomiccrisis pakistan,0.495,2
panic decided follow anything back ishaqdar pakistaneconomiccrisis,0.355,2
lawyer representing people fascist activities government mianaliashfaq keep going allah bless amjadshoaib pakistan,0.207,0
dwhc coronavirus back horrific months contracting covid recovering longcovid found familypals coviddeniers chose show empathy grateful years therapy gave resilience covidðÿœ,0.167,0
dwhc coronavirus back horrific months contracting covid recovering longcovid found familypals coviddeniers chose show empathy grateful years therapy gave resilience covidðÿœ,0.167,0
bestselling author became obsessed freeing prison nearly ruined life sheâs âœabsolutely brokeâ âœseriously illâ next book âœyears past deadlineâ waterforelephants trauma paranoia vulnerability,0.437,2
dwhc home office sought develop paper sensitivity consideration experiences victims survivors groupbased childsexualexploitation characteristics offending groominggangs childabuse,0.272,0
dwhc clergyabuse childsexualabuse paedophiles paedophilia arizonaâs permitting victims childhood sexual abuse file lawsuits abusers even window lawsuits previously closed statutes limitations,0.454,2
dwhc childendangerment childabuse imprisonment deputies said childrenâs book author husband engineer lockheed martin charged abusing three adopted children holding prisoners,0.323,0
dwhc childabductions kidnappings childabuse predators police investigating women accused trying cream lure kids police released photo silver described door honda women driving,0.095,0
dwhc convicted paedophile member banned neonazi terrorist group jailed unsupervised contact children ryanfleming horsforth leeds regional organiser nationalaction outlawed,0.405,2
dwhc jack renshaw neonazi paedophile plotted kill labour jailed life wouldbe terrorist performed hitler salute court cells farright neonazi paedophiles groominggangs childsexualabuse offences,0.441,2
dwhc charged childsexualoffences paedophilia simon howard castle howard years charged child offences faces charges appears scarborough magistrates court monday february,0.336,0
dwhc couple forced neighbors sexually abuse tortured death kourtney aumen ethan mast also beat neighborsâ child dunked freezing lake leaving injuries abuse,0.559,2
dwhc teen dies restrained youth center staff yearold died going cardiac arrest restrained staff southwestern michigan facility teens behavioral problems childabuse mentalhealth,0.314,0
dwhc childsexualabuse sexualexploitation sexualassault paedophiles predators childexploitation rape yrold father arrested allegedly raping yearold daughter wife hospital give birth,0.441,2
dwhc childsexualabuse paedophiles rape paedophilia psychopaths statutoryrape sexualexploitation predators police allege âœsatanic cult leaderâ forced kids drink blood bodily fluids luring cheap english lessons,0.259,0
dwhc childsexualabuse paedophiles sexualassault predators radcliffe beast sons bedroom police thought drunk wandered wrong house,0.297,0
stop child abuse campaigner metoo timesup csaðÿ dwhc dwhc childsexualabuse paedophiles sexualassault arrested horrific rape yrold girl left fighting life hospital shocking incident took place anapoima central colombia sunday morning,0.509,2
beat everything kill says text april accusing sexual relations male friend prostitutes prostitutes,0.327,0
dwhc childsexualabuse french accused molesting indonesian kids indonesian authorities arrested french alleged sexualabuse minors finding videos laptop computer showing molesting children,0.431,2
lets forget real villain royal family princeandrew dont tabloids attack duchess sussex distract person hangs convicted traffickers paedophiles,0.317,0
